"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation"
"1","31/01/2018","30/06/2018","Michy Batshuayi","24","Bor. Dortmund","Germany",10,"40,00 Mill. €  "," "
"2","12/07/2017","31/05/2018","Ruben Loftus-Cheek","21","Crystal Palace","England",24,"15,00 Mill. €  "," "
"3","21/07/2017","31/05/2018","Kurt Zouma","22","Stoke City","England",34,"15,00 Mill. €  "," "
"4","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",28,"12,00 Mill. €  "," "
"5","04/07/2017","31/05/2018","Tammy Abraham","19","Swansea","England",31,"10,00 Mill. €  "," "
"6","23/01/2018","31/05/2019","Kenedy","21","Newcastle","England",13,"10,00 Mill. €  "," "
"7","02/08/2017","30/06/2018","Mario Pasalic","22","Spartak Moscow","Russia",21,"8,00 Mill. €  "," "
"8","11/08/2017","31/05/2018","Lewis Baker","22","Middlesbrough","England",12,"5,50 Mill. €  "," "
"9","27/07/2017","31/05/2018","Tomas Kalas","24","Fulham","England",33,"5,00 Mill. €  "," "
"10","29/01/2018","28/01/2019","Abdul Rahman Baba","23","FC Schalke 04","Germany",1,"5,00 Mill. €  "," "
"11","29/01/2018","17/05/2018","Charly Musonda Jr.","21","Celtic","Scotland",4,"5,00 Mill. €  "," "
"12","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",32,"3,00 Mill. €  "," "
"13","27/07/2017","31/05/2018","Michael Hector","25","Hull City","England",36,"3,00 Mill. €  "," "
"14","01/07/2017","30/06/2019","Danilo Pantic","20","Partizan","Serbia",31,"2,75 Mill. €  "," "
"15","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",22,"2,50 Mill. €  "," "
"16","25/08/2017","30/06/2018","Kenneth Omeruo","23","Kasimpasa","Turkey",28,"1,75 Mill. €  "," "
"17","11/07/2017","31/05/2018","Ola Aina","20","Hull City","England",44,"1,50 Mill. €  "," "
"18","01/07/2017","30/01/2018","Todd Kane","23","FC Groningen","Netherlands",11,"1,25 Mill. €  "," "
"19","31/08/2017","31/12/2017","Nathan","21","SC Amiens","France",1,"1,25 Mill. €  "," "
"20","31/01/2018","31/05/2018","Todd Kane","24","Oxford United","England",17,"1,25 Mill. €  "," "
"21","18/01/2018","30/06/2018","Nathan","21","Belenenses SAD","Portugal",13,"1,00 Mill. €  "," "
"22","27/07/2017","31/05/2018","Jamal Blackman","23","Sheffield Utd.","England",31,"250 Th. €  "," "
"23","25/07/2017","10/01/2018","Isaiah Brown","20","Brighton","England",13,"5,00 Mill. €  "," "
"24","24/07/2017","30/06/2018","Mason Mount","18","Vitesse","Netherlands",29,"4,00 Mill. €  "," "
"25","28/08/2017","31/05/2018","Jeremie Boga","20","Birmingham","England",31,"2,50 Mill. €  "," "
"26","04/07/2017","02/01/2018","Kasey Palmer","20","Huddersfield","England",4,"1,50 Mill. €  "," "
"27","31/01/2018","31/05/2018","Kasey Palmer","21","Derby","England",15,"1,50 Mill. €  "," "
"28","28/07/2017","31/05/2018","Victorien Angban","20","Waasl.-Beveren","Belgium",25,"1,00 Mill. €  "," "
"29","31/08/2017","31/05/2018","Fikayo Tomori","19","Hull City","England",25,"1,00 Mill. €  "," "
"30","08/01/2018","31/05/2018","Jake Clarke-Salter","20","Sunderland","England",11,"1,00 Mill. €  "," "
"31","01/07/2017","30/06/2018","Fankaty Dabo","21","Vitesse","Netherlands",26,"600 Th. €  "," "
"32","06/09/2017","30/06/2018","Joao Rodríguez","21","Tampico Madero","Mexico",9,"500 Th. €  "," "
"33","06/07/2017","31/01/2018","Charlie Colkett","20","Vitesse","Netherlands",6,"400 Th. €  "," "
"34","17/07/2017","03/01/2018","Ike Ugbo","18","Barnsley FC","England",16,"250 Th. €  "," "
"35","21/07/2017","31/05/2018","Jay Dasilva","19","Charlton","England",38,"250 Th. €  "," "
"36","04/01/2018","31/05/2018","Ike Ugbo","19","MK Dons","England",15,"250 Th. €  "," "
"37","05/07/2017","31/12/2017","Josimar Quintero","20","Rostov","Russia",0,"200 Th. €  "," "
"38","17/01/2018","30/06/2018","Josimar Quintero","20","Betis B","Spain",6,"200 Th. €  "," "
"39","31/08/2017","31/05/2018","Jordan Houghton","21","Doncaster","England",37,"100 Th. €  "," "
"40","22/02/2018","30/06/2018","Mitchell Beeney","22","Sligo Rovers","Ireland",26,"100 Th. €  "," "
"41","02/07/2017","31/05/2018","Nathan Baxter","18","Woking FC","England",42,"-  "," "
"42","07/07/2017","31/05/2018","Bradley Collins","20","Forest Green","England",39,"-  "," "
"43","28/07/2017","31/05/2018","Jared Thompson","18","Chippenham","England",0,"-  "," "
"44","31/08/2017","31/05/2018","Charlie Wakefield","19","Stevenage FC","England",0,"-  "," "
